date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2019-11-27 00:00:00,458.6,463.3,456.0,462.5,160744.0,7431540.5,47582.0,31740.0,5438.0
2019-11-28 00:00:00,458.4,461.8,457.5,462.1,157976.0,7297911.22,49644.0,32002.0,5398.0
2019-11-29 00:00:00,461.8,463.5,458.4,462.1,109690.0,5066696.54,49904.0,31870.0,4406.0
2019-12-02 00:00:00,451.5,451.5,456.1,456.1,230266.0,10491908.6,46932.0,28580.0,28580.0
2019-12-03 00:00:00,450.5,450.5,452.0,452.0,179868.0,8125322.32,47998.0,27036.0,27036.0
2019-12-04 00:00:00,448.7,448.7,448.5,448.5,190012.0,8516560.26,50234.0,27042.0,27042.0
2019-12-05 00:00:00,455.7,455.7,455.5,455.5,221586.0,10086945.02,48064.0,23168.0,23168.0
2019-12-06 00:00:00,458.0,458.0,458.2,458.2,194458.0,8907158.58,49042.0,21408.0,21408.0
2019-12-09 00:00:00,467.9,467.9,463.5,463.5,261316.0,12097557.7,54332.0,19802.0,19802.0
2019-12-10 00:00:00,470.2,466.7,468.0,466.1,183070.0,8546273.48,54058.0,33428.0,10202.0
2019-12-11 00:00:00,465.4,465.4,470.1,466.7,144882.0,6761346.84,54694.0,34704.0,9120.0
2019-12-12 00:00:00,460.0,466.4,465.2,464.1,184722.0,8572593.02,56130.0,36176.0,8700.0
2019-12-13 00:00:00,461.7,466.2,462.5,466.7,192496.0,8983431.58,55356.0,35280.0,8386.0
2019-12-16 00:00:00,482.0,470.9,468.8,470.1,232330.0,10920115.78,59336.0,38692.0,8168.0
2019-12-17 00:00:00,486.0,470.7,481.1,472.2,127972.0,6043288.22,58028.0,38370.0,6758.0
2019-12-18 00:00:00,474.6,473.6,493.7,474.8,161734.0,7678145.22,62136.0,39086.0,6684.0
2019-12-19 00:00:00,471.3,478.5,470.6,476.6,174314.0,8306392.62,65434.0,39930.0,6684.0
2019-12-20 00:00:00,474.0,480.2,467.0,479.6,128298.0,6151883.42,65948.0,41234.0,6684.0
2019-12-23 00:00:00,476.8,476.8,478.4,478.4,146136.0,6989632.62,56358.0,38200.0,38200.0
2019-12-24 00:00:00,480.4,480.4,478.8,478.8,101692.0,4867695.42,56460.0,37894.0,37894.0
2019-12-25 00:00:00,484.2,484.2,483.3,483.3,112394.0,5430748.76,57024.0,37548.0,37548.0
2019-12-26 00:00:00,484.8,484.8,484.2,484.2,57210.0,2767029.32,58220.0,34108.0,34108.0
2019-12-27 00:00:00,489.6,489.6,486.5,486.5,149270.0,7256796.3,66220.0,36890.0,36890.0
2019-12-30 00:00:00,489.3,489.3,490.1,490.1,172846.0,8465652.2,63462.0,30784.0,30784.0
2019-12-31 00:00:00,483.5,483.5,488.1,488.1,204318.0,9965062.38,58820.0,23718.0,23718.0
2020-01-02 00:00:00,482.5,482.5,481.8,481.8,17780.0,855846.74,28914.0,10614.0,10614.0
2020-01-03 00:00:00,499.7,499.0,487.1,488.3,134100.0,6536997.62,32687.0,17776.0,8153.0
2020-01-06 00:00:00,509.2,516.1,507.4,506.6,130964.0,6635332.3,32149.0,19223.0,4876.0
2020-01-07 00:00:00,494.9,502.2,500.6,507.3,98562.0,4995069.08,32563.0,19100.0,4538.0
